R1J1,R1J2,R1J3,R1J4,R1J5,R1J6,R2J1,R2J2,R2J3,R2J4,R2J5,R2J6
-0.0473090146110264,-1.5714449521380403,-0.034931582491886784,0.005396095900095923,0.03221695864355898,1.249424107375937e-19,0.027594836505067253,-1.5714449521380403,-0.03493158249188677,0.00539609590009592,0.01768133139733497,-8.956874005701112e-19
-0.05066634403007661,-1.571490982455188,-0.03741053561568863,0.005779035000864805,0.034503265892519,1.3380906828067032e-19,0.029553130440674834,-1.571490982455188,-0.03741053561568862,0.0057790350008648005,0.01893610397199801,-9.592507126562137e-19
-0.054164391567212596,-1.5715389420735135,-0.03999339085181369,0.006178024498504451,0.03688540075124943,1.430473603008682e-19,0.03159350373248554,-1.5715389420735135,-0.03999339085181368,0.006178024498504446,0.020243468715403955,-1.0254781987150283e-18
-0.05780471556766152,-1.5715888523585484,-0.04268129883646317,0.006593242138849572,0.03936442443702883,1.5266140236497837e-19,0.03371686534641455,-1.5715888523585484,-0.04268129883646317,0.006593242138849566,0.021604008045483503,-1.0943993624298848e-18
-0.06158879559313514,-1.5716407335956695,-0.04547535203441172,0.00702485668163766,0.041941344516361605,1.6265510197368795e-19,0.035924078294804686,-1.5716407335956695,-0.04547535203441171,0.007024856681637655,0.02301827493551593,-1.1660422158994176e-18
-0.06551803315130711,-1.571694605000103,-0.048376585277631994,0.007473027983713626,0.04461711540174463,1.7303216048811911e-19,0.03821596006192257,-1.571694605000103,-0.048376585277631994,0.007473027983713621,0.024486793186764843,-1.2404332934485413e-18
-0.06959375242528958,-1.5717504847269241,-0.05138597630391875,0.007937907082234373,0.04739263884843349,1.8379607505636632e-19,0.040593283029454516,-1.5717504847269241,-0.051385976303918744,0.007937907082234368,0.026010057701113733,-1.3175976654394138e-18
-0.07381720100311048,-1.5718083898810595,-0.05450444629551329,0.008419636277873415,0.05026876445120903,1.9495014054003457e-19,0.043056774902002715,-1.5718083898810595,-0.054504446295513286,0.00841963627787341,0.027588534753701717,-1.3975589520824096e-18
-0.07818955060719054,-1.5718683365272879,-0.057732860417727815,0.008918349218025489,0.05324629014114376,2.0649745144077781e-19,0.0456071191325812,-1.5718683365272879,-0.0577328604177278,0.008918349218025484,0.029222662265559196,-1.4803393372470888e-18
-0.08271189782381995,-1.5719303397002418,-0.06107202835756957,0.009434170980011132,0.05632596268236819,2.1844090382683596e-19,0.04824495534811185,-1.5719303397002418,-0.061072028357569565,0.009434170980011125,0.03091285007624345,-1.5659595822731649e-18
